date,close,open,high,low,volume,change
2019年1月30日,676,684.99,686.22,676,2.27M,-1.31%
2019年1月29日,685,677.5,688,668,3.03M,1.18%
2019年1月28日,677,684,693.98,676.03,3.61M,-0.40%
2019年1月25日,679.7,675.88,684.9,669.93,2.90M,1.07%
2019年1月24日,672.5,670.3,677.83,664.68,2.92M,1.03%
2019年1月23日,665.66,667.22,674.5,663.13,3.36M,-0.80%
2019年1月22日,671,686,686,665.22,4.21M,-2.33%
2019年1月21日,686.98,690,698.88,681.88,4.71M,0.49%
2019年1月18日,683.61,665,690.2,661.5,6.86M,3.70%
2019年1月17日,659.25,663,669.7,655.8,3.03M,-0.28%
2019年1月16日,661.1,658,665.65,653.6,4.21M,0.17%
2019年1月15日,659.98,627.86,661.5,625,5.58M,5.66%
2019年1月14日,624.6,633,635.89,621.55,2.56M,-1.77%
2019年1月11日,635.88,625,637,618.75,3.89M,2.77%
2019年1月10日,618.77,617.13,624.88,610.25,2.90M,0.43%
2019年1月9日,616.12,609.99,626.16,609.04,4.99M,1.87%
2019年1月8日,604.79,605.5,612,600.28,2.88M,-0.12%
2019年1月7日,605.49,608,612,602.22,3.48M,0.58%
2019年1月4日,602,587.28,607.67,582.02,3.77M,2.03%
2019年1月3日,590,599.97,601.66,585.8,3.10M,-1.50%
2019年1月2日,598.98,609.98,612,595.01,6.23M,1.52%
2018年12月28日,590.01,563.3,596.4,560,6.37M,4.80%
2018年12月27日,563,570,571.85,562.22,2.95M,0.52%
2018年12月26日,560.08,563.81,568.4,558,1.79M,-1.01%
2018年12月25日,565.79,562.22,567.5,553.61,2.66M,-0.39%
2018年12月24日,568,563.5,570.91,558,1.91M,0.10%
2018年12月21日,567.41,571,573.45,562.21,3.06M,-1.23%
2018年12月20日,574.5,576.22,581.5,568.89,2.69M,-0.57%
2018年12月19日,577.8,589,590.99,576.03,2.57M,-2.22%
2018年12月18日,590.94,585.88,591.54,585,1.92M,0.07%
2018年12月17日,590.52,592.57,595.97,585.01,2.49M,-0.41%
2018年12月14日,592.96,598.01,599.8,592,2.46M,-1.46%
2018年12月13日,601.75,590,606.88,589.6,4.04M,2.16%
2018年12月12日,589,588.79,589.2,582.8,1.99M,1.03%
2018年12月11日,582.99,577,586.55,577,1.63M,1.00%
2018年12月10日,577.23,576,587.5,574.18,2.46M,-1.66%
2018年12月7日,587,595.6,598.86,584.7,2.68M,-0.81%
2018年12月6日,591.8,600,605.98,590.36,3.78M,-3.00%
2018年12月5日,610.1,597.5,616.5,595,4.16M,1.31%
2018年12月4日,602.23,602.99,604.26,595,3.15M,0.17%
2018年12月3日,601.2,589,605,584.77,8.34M,6.41%
2018年11月30日,565,557,568.89,553,4.90M,2.43%
2018年11月29日,551.6,566.03,569.8,549.01,4.51M,-0.97%
2018年11月28日,557,550.85,559.19,545.5,2.77M,1.62%
2018年11月27日,548.1,552,554.99,546.5,2.02M,-0.73%
2018年11月26日,552.11,558,560.2,552,1.91M,-0.86%
2018年11月23日,556.9,564,567.3,556.9,2.01M,-1.35%
2018年11月22日,564.5,565.15,567.33,558,2.12M,-0.04%
2018年11月21日,564.7,554,568.9,553.68,2.71M,0.55%
2018年11月20日,561.6,565,568,560,2.69M,-1.30%
2018年11月19日,569.02,560.3,572,559.11,3.62M,1.61%
2018年11月16日,560,561,566,558.03,2.89M,0.05%
2018年11月15日,559.7,558.8,564.8,555.5,3.08M,0.83%
2018年11月14日,555.1,569.96,569.96,552.55,4.18M,-2.61%
2018年11月13日,570,546.12,570,543,6.64M,3.26%
2018年11月12日,552,553,554.2,536.8,6.78M,-1.78%
