date,close,open,high,low,volume,change
2016年9月30日,298.1,290.0,299.63,290.0,2960000.0,0.0246
2016年10月10日,303.0,298.51,303.86,298.51,2110000.0,0.016399999999999998
2016年10月11日,308.86,304.0,309.0,303.0,4170000.0,0.019299999999999998
2016年10月12日,306.0,308.5,308.5,304.9,1930000.0,-0.009300000000000001
2016年10月13日,303.97,306.8,306.94,303.51,1610000.0,-0.0066
2016年10月14日,305.57,303.47,306.0,303.2,1270000.0,0.0053
2016年10月17日,302.54,305.45,305.5,301.5,1900000.0,-0.009899999999999999
2016年10月18日,307.28,302.5,308.5,302.0,3040000.0,0.015700000000000002
2016年10月19日,306.4,308.5,308.75,305.1,1410000.0,-0.0029
2016年10月20日,305.49,307.39,307.39,304.8,1410000.0,-0.003
2016年10月21日,304.15,305.08,305.48,302.59,1150000.0,-0.0044
2016年10月24日,306.92,302.6,307.0,302.6,2620000.0,0.0091
2016年10月25日,313.0,307.39,313.0,307.39,4380000.0,0.019799999999999998
2016年10月26日,313.75,313.0,318.31,311.65,4680000.0,0.0024
2016年10月27日,316.85,312.99,318.22,311.01,3300000.0,0.009899999999999999
2016年10月28日,317.05,317.5,318.43,314.0,2009999.9999999998,0.0006
2016年10月31日,317.89,319.0,322.8,316.8,4360000.0,0.0026
2016年11月1日,316.64,317.95,319.0,315.55,1950000.0,-0.0039000000000000003
2016年11月2日,315.15,316.09,317.16,313.68,2060000.0,-0.004699999999999999
2016年11月3日,315.87,315.0,316.46,314.15,1870000.0,0.0023
2016年11月4日,314.63,315.99,318.25,313.98,2060000.0,-0.0039000000000000003
2016年11月7日,315.4,315.0,317.0,313.2,1600000.0,0.0024
2016年11月8日,320.0,316.5,322.18,315.68,3420000.0,0.0146
2016年11月9日,316.84,320.0,321.97,313.8,3000000.0,-0.009899999999999999
2016年11月10日,319.15,319.1,321.0,317.73,1780000.0,0.0073
2016年11月11日,315.1,317.99,318.3,314.8,3590000.0,-0.0127
2016年11月14日,310.99,315.55,315.87,309.99,3990000.0,-0.013000000000000001
2016年11月15日,314.0,310.03,315.65,310.03,2450000.0,0.0097
2016年11月16日,313.2,313.81,315.4,312.0,1340000.0,-0.0025
2016年11月17日,311.05,312.08,313.0,310.53,1830000.0,-0.0069
2016年11月18日,310.0,311.16,311.8,309.88,1940000.0,-0.0034000000000000002
2016年11月21日,309.49,311.02,311.66,308.37,2610000.0,-0.0016
2016年11月22日,308.97,310.3,310.45,308.37,2640000.0,-0.0017000000000000001
2016年11月23日,312.98,311.0,313.0,309.11,3400000.0,0.013000000000000001
2016年11月24日,317.0,313.2,317.0,311.42,3910000.0,0.0128
